TREEID,OBJECTID_1,ONSTREET,PARITY,CROSSSTREE,CROSSSTR_1,BUILDINGNU,BUILDINGST,TREELOCATI,SITE,TREEPIT,TREECONDIT,DIAMETER,SPECIES,BOROUGH,ZIPCODE,FID_1,COMMDIST
186,16,TRINITY PLACE,odd,THAMES STREET,RECTOR PLACE,74A,TRINITY PLACE,1,4,1,1,6,PYCA,Manhattan,10006,0,101
188,17,TRINITY PLACE,odd,THAMES STREET,RECTOR PLACE,74,TRINITY PLACE,1,4,1,1,5,PYCA,Manhattan,10006,0,101
190,18,WASHINGTON STREET,odd,BATTERY PLACE,MORRIS STREET,2,WASHINGTON STREET,1,4,1,1,4,GLTR,Manhattan,10004,0,101
192,19,WASHINGTON STREET,odd,BATTERY PLACE,MORRIS STREET,18,WASHINGTON STREET,1,4,1,2,10,GLTR,Manhattan,10004,0,101
194,20,WASHINGTON STREET,odd,BATTERY PLACE,MORRIS STREET,26,WASHINGTON STREET,2,4,1,2,3,GLTR,Manhattan,10004,0,101
196,21,GREENWICH STREET,odd,MORRIS STREET,EXCHANGE ALLEY,29,BROADWAY,3,3,2,2,15,PLAC,Manhattan,10006,0,101
185,23,TRINITY PLACE,odd,THAMES STREET,RECTOR PLACE,78,TRINITY PLACE,1,4,1,2,4,PYCA,Manhattan,10006,0,101
187,24,TRINITY PLACE,odd,THAMES STREET,RECTOR PLACE,74,TRINITY PLACE,2,4,1,1,7,PYCA,Manhattan,10006,0,101
189,25,WASHINGTON STREET,odd,BATTERY PLACE,MORRIS STREET,17,BATTERY PLACE,1,7,1,1,9,GLTR,Manhattan,10004,0,101
191,26,WASHINGTON STREET,odd,BATTERY PLACE,MORRIS STREET,2,WASHINGTON STREET,2,4,1,2,15,PLAC,Manhattan,10004,0,101
193,27,WASHINGTON STREET,odd,BATTERY PLACE,MORRIS STREET,26,WASHINGTON STREET,1,4,1,2,8,GLTR,Manhattan,10004,0,101
195,28,WASHINGTON STREET,odd,BATTERY PLACE,MORRIS STREET,21,WEST STREET,1,3,1,2,4,GLTR,Manhattan,10004,0,101
